Round 1
PlayerID,GroupID,Choice,Payoff,Period,Round,Theta,X,Practice
1,1,1,6,1,1,10,12.30609281405811,0
1,1,0,11.744576426674085,2,1,10.222923999147728,13.05097299843678,0
1,1,0,11.596869698783166,3,1,10.782689356466818,11.217048505975288,0
1,1,0,11.629683438309243,4,1,10.979547321048488,9.561234918738357,0
1,1,0,10.438524820495378,5,1,10.86522517250747,11.214852763949619,0
1,1,0,10.47668305152568,6,1,11.096108373959336,10.680795099378447,0
1,1,0,11.994141297225319,7,1,10.81597228181699,12.03909549379448,0
1,1,0,12.243910798301393,9,1,11.681588651187889,13.02913418098371,0
2,1,0,11.274257853365519,1,1,10,12.30609281405811,0
2,1,0,14.671117893730825,2,1,10.222923999147728,13.05097299843678,0
2,1,0,11.737414948348118,3,1,10.782689356466818,11.217048505975288,0
2,1,0,5.933590254760076,4,1,10.979547321048488,9.561234918738357,0
2,1,0,11.743766893541586,5,1,10.86522517250747,11.214852763949619,0
2,1,0,12.61619629897262,6,1,11.096108373959336,10.680795099378447,0
2,1,0,17.058330896647703,7,1,10.81597228181699,12.03909549379448,0
2,1,0,15.009956434753557,9,1,11.681588651187889,13.02913418098371,0
3,1,0,9.453002080553704,1,1,10,12.30609281405811,0
3,1,0,9.818851246515313,2,1,10.222923999147728,13.05097299843678,0
3,1,0,7.861612904603065,3,1,10.782689356466818,11.217048505975288,0
3,1,0,8.300983106428214,4,1,10.979547321048488,9.561234918738357,0
3,1,0,8.991059234588201,5,1,10.86522517250747,11.214852763949619,0
3,1,0,11.142399293844967,6,1,11.096108373959336,10.680795099378447,0
3,1,0,7.451110304893598,7,1,10.81597228181699,12.03909549379448,0
3,1,0,15.222360071381413,9,1,11.681588651187889,13.02913418098371,0
4,1,0,16.19101850825511,1,1,10,12.30609281405811,0
4,1,0,15.969346426826892,2,1,10.222923999147728,13.05097299843678,0
4,1,0,13.67229647216681,3,1,10.782689356466818,11.217048505975288,0
4,1,0,12.380682875455898,4,1,10.979547321048488,9.561234918738357,0
4,1,0,13.686060107173308,5,1,10.86522517250747,11.214852763949619,0
4,1,0,8.487901753170517,6,1,11.096108373959336,10.680795099378447,0
4,1,0,11.652799476411303,7,1,10.81597228181699,12.03909549379448,0
4,1,0,9.640309419498479,9,1,11.681588651187889,13.02913418098371,0
