Round 1
PlayerID,GroupID,Choice,Payoff,Period,Round,Theta,X
1,1,1,6,1,1,10,0
1,1,0,10.282419588131107,2,1,10.120985362259571,10.282419588131107
1,1,0,10.261524993370468,3,1,10.141931577403186,10.261524993370468
1,1,1,6,4,1,10.137050922738995,10.209587996222918
1,1,1,6,6,1,10.123752770488938,10.16628613638708
2,1,1,6,1,1,10,0
2,1,1,6,2,1,10.120985362259571,10.282419588131107
2,1,1,6,3,1,10.141931577403186,10.261524993370468
2,1,0,10.209587996222918,4,1,10.137050922738995,10.209587996222918
2,1,0,10.16628613638708,6,1,10.123752770488938,10.16628613638708
3,1,1,6,1,1,10,0
3,1,0,10.282419588131107,2,1,10.120985362259571,10.282419588131107
3,1,1,6,3,1,10.141931577403186,10.261524993370468
3,1,1,6,4,1,10.137050922738995,10.209587996222918
3,1,1,6,6,1,10.123752770488938,10.16628613638708
4,1,1,6,1,1,10,0
4,1,0,10.282419588131107,2,1,10.120985362259571,10.282419588131107
4,1,0,10.261524993370468,3,1,10.141931577403186,10.261524993370468
4,1,0,10.209587996222918,4,1,10.137050922738995,10.209587996222918
4,1,0,10.16628613638708,6,1,10.123752770488938,10.16628613638708
